timestamp,machine_id,vibration,temperature,pressure,failure_event
2025-01-01 00:00:00,M00,0.2152,68.637,2.103,0
2025-01-01 00:10:00,M00,0.148,52.331,1.884,0
2025-01-01 00:20:00,M00,0.2375,64.319,2.255,0
2025-01-01 00:30:00,M00,0.247,58.357,1.874,0
2025-01-01 00:40:00,M00,0.1024,59.693,1.873,0
2025-01-01 00:50:00,M00,0.1349,54.736,2.108,0
2025-01-01 01:00:00,M00,0.2064,58.328,2.153,0
2025-01-01 01:10:00,M00,0.1842,66.5,2.09,0
2025-01-01 01:20:00,M00,0.1992,62.913,1.663,0
2025-01-01 01:30:00,M00,0.1573,68.662,2.108,0
2025-01-01 01:40:00,M00,0.244,65.887,1.793,0
2025-01-01 01:50:00,M00,0.2389,62.195,2.047,0
2025-01-01 02:00:00,M00,0.2033,68.72,1.715,0
2025-01-01 02:10:00,M00,0.2564,62.195,2.089,0
2025-01-01 02:20:00,M00,0.2234,64.14,1.839,0
2025-01-01 02:30:00,M00,0.157,58.517,1.743,0
2025-01-01 02:40:00,M00,0.2184,60.333,2.143,0
2025-01-01 02:50:00,M00,0.1521,56.513,2.048,0
2025-01-01 03:00:00,M00,0.2439,64.948,1.877,0
2025-01-01 03:10:00,M00,0.1975,54.108,2.29,0
2025-01-01 03:20:00,M00,0.1908,63.912,1.912,0
2025-01-01 03:30:00,M00,0.3929,68.303,1.582,0
2025-01-01 03:40:00,M00,0.4881,75.113,1.63,0
2025-01-01 03:50:00,M00,0.4192,73.011,1.452,0
2025-01-01 04:00:00,M00,0.4056,78.36,1.67,0
2025-01-01 04:10:00,M00,0.4094,72.91,1.469,0
2025-01-01 04:20:00,M00,0.4536,61.396,1.494,0
2025-01-01 04:30:00,M00,0.4452,68.922,1.848,0
2025-01-01 04:40:00,M00,0.4476,63.396,1.368,0
2025-01-01 04:50:00,M00,0.4485,66.665,1.093,0
2025-01-01 05:00:00,M00,0.5341,76.813,1.898,0
2025-01-01 05:10:00,M00,0.4067,72.444,2.086,0
2025-01-01 05:20:00,M00,0.4014,65.762,1.495,0
2025-01-01 05:30:00,M00,0.1593,54.931,1.613,1
2025-01-01 05:40:00,M00,0.2308,60.164,1.938,0
2025-01-01 05:50:00,M00,0.2564,53.917,1.943,0
2025-01-01 06:00:00,M00,0.1943,56.644,1.962,0
2025-01-01 06:10:00,M00,0.158,61.56,1.777,0
2025-01-01 06:20:00,M00,0.1588,65.777,2.116,0
2025-01-01 06:30:00,M00,0.2325,63.044,2.105,0
2025-01-01 06:40:00,M00,0.2372,48.544,1.701,0
2025-01-01 06:50:00,M00,0.2272,61.522,2.14,0
